Area_of_Origin,Civilian_Casualties,Count_of_Persons_Rescued,Estimated_Dollar_Loss,Estimated_Number_Of_Persons_Displaced,Fire_Alarm_System_Presence,Ignition_Source,Latitude,Longitude,Material_First_Ignited,Possible_Cause
Porch or Balcony,0,0,2000,6,Not applicable (bldg not classified by OBC OR detached/semi/town home),Candle,43.66729,-79.32938,Wood,Improper handling of ignition source or ignited material
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,2000,7,Undetermined,"Cord, Cable for Appliance, Electrical Articles",43.66746,-79.40419,Electrical Wiring Insulation,Electrical Failure
Other - unclassified,0,0,2000,10,Fire alarm system present,Other Electrical,43.78728,-79.47009,Undetermined (formerly 98),Mechanical Failure
"Process Manufacturing (inc manf, prod assembly, repair)",0,0,2000,20,Undetermined,Transformer,43.71055,-79.31324,Electrical Wiring Insulation,Electrical Failure
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,2000,25,Fire alarm system present,Florescent Lamp (includes ballast),43.74376,-79.3022,Other,Electrical Failure
Laboratory,1,0,2000,30,Fire alarm system present,"Chemical Processing Equipment (eg. reactors, distilling units, e",43.7133772,-79.34655896,"Other chemicals, materials not classified above",Improper handling of ignition source or ignited material
Roof,0,0,2000,35,Fire alarm system present,Cutting/Welding Equipment,43.67183938,-79.33921609,Exterior Roof Covering,Improper handling of ignition source or ignited material
Other Vehicle Area,0,0,2000,40,Fire alarm system present,Undetermined,43.75209,-79.54238,Vehicle,Mechanical Failure
"Process Manufacturing (inc manf, prod assembly, repair)",0,0,2000,60,Fire alarm system present,Other Mechanical,43.74591,-79.62198,"Other chemicals, materials not classified above","Routine maintenance deficiency, eg creosote, lint, grease buildup"
Cooking Area or Kitchen,0,0,2000,60,Fire alarm system present,Oven,43.65581,-79.39208,"Cooking Oil, Grease","Routine maintenance deficiency, eg creosote, lint, grease buildup"
Cooking Area or Kitchen,0,0,2000,100,Fire alarm system present,Oven,43.76544706,-79.19947279,"Cooking Oil, Grease","Other unintentional cause, not classified"
Mechanical/Electrical Services Room,0,0,2000,100,Fire alarm system present,Other Electrical,43.75044374,-79.62391184,"Other Flammable, Combustible Liquid",Mechanical Failure
Laundry Area,0,0,2000,200,Fire alarm system present,Clothes Dryer,43.71531,-79.32965,"Other Soft Goods, Wearing Apparel","Routine maintenance deficiency, eg creosote, lint, grease buildup"
"Hallway, Corridor",0,0,2000,700,Fire alarm system present,Matches (open flame),43.77161875,-79.32329738,Gasoline,Suspected Arson
"Washroom or Bathroom (toilet,restroom/locker room)",0,0,2250,0,Fire alarm system present,Candle,43.82226,-79.27566,"Curtain, Drapery",Improper handling of ignition source or ignited material
Storage Area (outside),1,0,2400,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Undetermined,43.72395,-79.49415,"Rubbish, Trash, Waste",Undetermined
Attached Deck,0,2,2500,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.71898,-79.56898,"Paper, Cardboard",Improperly Discarded
Cooking Area or Kitchen,0,0,2500,0,No Fire alarm system,"Stove, Range-top burner",43.75040019,-79.24756966,"Cooking Oil, Grease",Unattended
Mechanical/Electrical Services Room,0,0,2500,0,Fire alarm system present,Other Electrical,43.74344679,-79.58744858,Electrical Wiring Insulation,Electrical Failure
Laundry Area,0,0,2500,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Clothes Dryer,43.73016758,-79.4620285,Other,Mechanical Failure
Porch or Balcony,0,0,2500,0,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.72999982,-79.30645563,"Books, Magazines, Newspapers",Improperly Discarded
Cooking Area or Kitchen,0,0,2500,0,Fire alarm system present,"Stove, Range-top burner",43.78174799,-79.44657822,"Cooking Oil, Grease",Unattended
Porch or Balcony,0,0,2500,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.66135718,-79.45353054,"Paper, Cardboard",Improperly Discarded
Laundry Area,0,0,2500,0,Fire alarm system present,Clothes Dryer,43.75901593,-79.517775,Other,"Routine maintenance deficiency, eg creosote, lint, grease buildup"
Other Storage Area,0,0,2500,0,Fire alarm system present,Other,43.65674908,-79.39959146,"Fabric - Natural (eg. cotton, wool, etc.)",Undetermined
Cooking Area or Kitchen,0,0,2500,0,Fire alarm system present,"Stove, Range-top burner",43.69955334,-79.50289397,"Cooking Oil, Grease",Unattended
Cooking Area or Kitchen,0,0,2500,0,Fire alarm system present,"Stove, Range-top burner",43.71108132,-79.26980827,Other,Unattended
Awning or Canopy,0,0,2500,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Other Electrical Distribution Item,43.75737979,-79.27789327,Interior Wall/Ceiling,Electrical Failure
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,2500,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Circuit Wiring - Copper,43.65654055,-79.46964926,"Rug, Carpet",Electrical Failure
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,2500,0,Fire alarm system present,"Incandescent Lamp - Light Bulb, Spotlight",43.64465369,-79.53079764,"Other Soft Goods, Wearing Apparel",Electrical Failure
"Parking Area, Parking Lot",0,0,2500,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Vehicle - Mechanical,43.67673025,-79.41578676,"Rubber, not classified above",Mechanical Failure
Porch or Balcony,0,0,2500,0,Undetermined,Undetermined,43.66088636,-79.41283564,Other,"Unintentional, cause undetermined"
Engine Area,0,0,2500,0,Undetermined,Undetermined,43.70377266,-79.36086143,Undetermined (formerly 98),"Unintentional, cause undetermined"
"Washroom or Bathroom (toilet,restroom/locker room)",0,0,2500,0,Fire alarm system present,Undetermined,43.66709451,-79.37468392,"Rubbish, Trash, Waste",Other misuse of ignition source/material ignited
Cooking Area or Kitchen,0,0,2500,0,Fire alarm system present,Oven,43.69873062,-79.55223189,Undetermined (formerly 98),Unattended
Exterior Wall,0,0,2500,0,Fire alarm system present,Service/Utility Lines (includes power/hydro transmission lines),43.65353782,-79.46529786,Electrical Wiring Insulation,Electrical Failure
"Washroom or Bathroom (toilet,restroom/locker room)",1,0,2500,0,Fire alarm system present,"Cord, Cable for Appliance, Electrical Articles",43.69746961,-79.48378416,Plastic,Electrical Failure
"Open Area (inc lawn, field, farmyard, park, playing field, pier,",0,0,2500,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.6599019,-79.44330668,"Rubbish, Trash, Waste",Improper handling of ignition source or ignited material
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,2500,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Lighters (open flame),43.67322322,-79.40103347,Christmas Tree,Suspected Arson
Cooking Area or Kitchen,0,0,2500,0,Fire alarm system present,"Stove, Range-top burner",43.80513344,-79.26533001,"Cooking Oil, Grease",Improper handling of ignition source or ignited material
Cooking Area or Kitchen,2,0,2500,0,Fire alarm system present,"Stove, Range-top burner",43.76522,-79.51154,Cabinetry,Unattended
"Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,2500,0,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.65616,-79.37012,"Rubbish, Trash, Waste",Other misuse of ignition source/material ignited
Other Outside Area,0,0,2500,0,Fire alarm system present,Undetermined,43.66835,-79.38206,"Fabric - Synthetic, Combination","Unintentional, cause undetermined"
Porch or Balcony,0,0,2500,0,Fire alarm system present,"Hot Ashes, Embers, Spark",43.66629,-79.37835,"Rubbish, Trash, Waste",Improperly Discarded
Porch or Balcony,0,0,2500,0,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.71423,-79.28194,"Rubbish, Trash, Waste",Improper handling of ignition source or ignited material
Cooking Area or Kitchen,0,0,2500,0,Fire alarm system present,"Stove, Range-top burner",43.64685,-79.3984,"Paper, Cardboard",Improper handling of ignition source or ignited material
Cooking Area or Kitchen,0,0,2500,0,Fire alarm system present,Deep Fat Fryer,43.64865,-79.38028,"Cooking Oil, Grease","Routine maintenance deficiency, eg creosote, lint, grease buildup"
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,2500,0,Fire alarm system present,Other Electrical Distribution Item,43.7678,-79.38314,"Mattress, Pillow",Unattended
Porch or Balcony,0,0,2500,0,Fire alarm system present,Other Open Flame Tools/Smokers' Articles,43.66803,-79.39738,Plastic,Improperly Discarded
Cooking Area or Kitchen,0,0,2500,0,Fire alarm system present,Deep Fat Fryer,43.65886,-79.44039,"Cooking Oil, Grease","Routine maintenance deficiency, eg creosote, lint, grease buildup"
"Court, Patio, Terrace",0,0,2500,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Candle,43.75986,-79.40648,Undetermined (formerly 98),Unattended
"Court, Patio, Terrace",0,0,2500,0,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.63721,-79.46991,"Other chemicals, materials not classified above",Improperly Discarded
Porch or Balcony,0,0,2500,0,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.65633,-79.46822,Other,Improperly Discarded
Electrical Systems,0,0,2500,0,No Fire alarm system,"Distribution Equipment (includes panel boards, fuses, circuit br",43.75251,-79.51649,Other Building Component,Electrical Failure
"Trash, rubbish area (outside)",0,0,2500,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Undetermined,43.75298,-79.44536,"Rubbish, Trash, Waste",Undetermined
Cooking Area or Kitchen,0,0,2500,0,Fire alarm system present,"Stove, Range-top burner",43.70779,-79.53363,Cabinetry,Improper handling of ignition source or ignited material
Cooking Area or Kitchen,0,0,2500,0,Fire alarm system present,"Stove, Range-top burner",43.69143,-79.46944,Interior Wall/Ceiling,Unattended
Attached Deck,0,0,2500,0,Undetermined,Candle,43.65639,-79.42215,Plastic,Other misuse of ignition source/material ignited
Cooking Area or Kitchen,0,0,2500,0,No Fire alarm system,"Stove, Range-top burner",43.69976,-79.32765,"Cooking Oil, Grease","Other unintentional cause, not classified"
Engine Area,0,0,2500,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Vehicle - Electrical,43.66549,-79.35262,Undetermined (formerly 98),"Unintentional, cause undetermined"
Laundry Area,1,0,2500,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Clothes Dryer,43.65872,-79.36718,Other,"Routine maintenance deficiency, eg creosote, lint, grease buildup"
Other - unclassified,0,0,2500,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Vehicle - Mechanical,43.66845,-79.34309,Vehicle,Mechanical Failure
Roof,0,0,2500,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Other Open Flame Tools/Smokers' Articles,43.6475,-79.43658,"Asphalt, Tar Product","Other unintentional cause, not classified"
Laundry Area,1,0,2500,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Clothes Dryer,43.74896,-79.603,Electrical Wiring Insulation,Electrical Failure
Cooking Area or Kitchen,0,0,2500,0,Fire alarm system present,"Stove, Range-top burner",43.70907,-79.39329,"Cooking Oil, Grease","Other unintentional cause, not classified"
Cooking Area or Kitchen,0,0,2500,0,Fire alarm system present,"Stove, Range-top burner",43.66644,-79.34087,"Cooking Oil, Grease",Improper handling of ignition source or ignited material
Cooking Area or Kitchen,0,0,2500,0,Fire alarm system present,"Stove, Range-top burner",43.79801,-79.15028,"Cooking Oil, Grease",Unattended
"Ducting - Exhaust (inc cooking, fumes, etc.)",0,0,2500,0,Undetermined,Other Mechanical,43.67315,-79.41439,Other Building Component,Mechanical Failure
Engine Area,0,0,2500,0,No Fire alarm system,Undetermined,43.7847,-79.48106,Undetermined (formerly 98),Undetermined
Cooking Area or Kitchen,0,0,2500,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Stove, Range-top burner",43.66049,-79.43244,"Cooking Oil, Grease",Improper handling of ignition source or ignited material
Storage Area (outside),0,0,2500,0,Fire alarm system present,Undetermined,43.72079,-79.52182,"Rubbish, Trash, Waste",Improperly Discarded
Exterior Wall,0,0,2500,0,No Fire alarm system,Other Electrical,43.68878,-79.27807,Exterior Cladding,Mechanical Failure
Other Storage Area,0,0,2500,0,Undetermined,"Hot Ashes, Embers, Spark",43.67317,-79.45699,Cabinetry,Improperly Discarded
Other Outside Area,0,0,2500,0,Fire alarm system present,Outdoor fireplace/heater,43.71141,-79.38172,Plastic,"Routine maintenance deficiency, eg creosote, lint, grease buildup"
Porch or Balcony,0,0,2500,0,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.76101,-79.21977,"Mattress, Pillow",Improperly Discarded
Cooking Area or Kitchen,0,0,2500,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Other Cooking Items (eg Toaster, Kettle, elec frying pan)",43.81029,-79.28851,"Cooking Oil, Grease",Unattended
Garage,0,0,2500,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Other Electrical,43.76725,-79.52747,Electrical Wiring Insulation,Electrical Failure
Laundry Area,0,0,2500,0,No Fire alarm system,Other Appliances,43.65315,-79.48159,Electrical Wiring Insulation,Electrical Failure
Porch or Balcony,0,0,2500,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.80558,-79.16672,"Agricultural Product - Grown (eg. straw, seeds, etc.)",Improper handling of ignition source or ignited material
"Court, Patio, Terrace",0,0,2500,0,Fire alarm system present,Fireworks,43.66045,-79.36477,"Bush, Grass, Tree, Leaves, etc.",Improper handling of ignition source or ignited material
Cooking Area or Kitchen,0,0,2500,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Stove, Range-top burner",43.78866,-79.40992,"Cooking Oil, Grease",Improper handling of ignition source or ignited material
Engine Area,0,0,2500,0,Undetermined,Vehicle - Electrical,43.79033,-79.21613,Undetermined (formerly 98),Electrical Failure
Garage,0,0,2500,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Chemical Reaction (eg. spontaneous combustion, etc.)",43.69578,-79.44216,"Rubbish, Trash, Waste",Used or Placed too close to combustibles
Laundry Area,0,0,2500,0,Fire alarm system present,Clothes Dryer,43.71332,-79.55969,Linen Other than Bedding,Undetermined
Cooking Area or Kitchen,0,0,2500,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Stove, Range-top burner",43.79925,-79.41447,Cabinetry,Other misuse of ignition source/material ignited
Porch or Balcony,0,0,2500,0,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.66082,-79.38585,"Books, Magazines, Newspapers",Improperly Discarded
Cooking Area or Kitchen,0,0,2500,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Stove, Range-top burner",43.64852,-79.55018,"Cooking Oil, Grease",Unattended
"HVAC Equipment Room (furnace room, water heater closet, boiler)",0,0,2500,0,Fire alarm system present,Cutting/Welding Equipment,43.6591,-79.38212,"Paper, Cardboard",Other misuse of ignition source/material ignited
Electronic Equipment,0,0,2500,0,Undetermined,"Terminations-Copper (incl receptacles, switches, lights)",43.64264,-79.47626,Electrical Wiring Insulation,Electrical Failure
Cooking Area or Kitchen,0,0,2500,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Range Hood,43.72906,-79.62583,Electrical Wiring Insulation,Electrical Failure
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,2500,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Terminations-Copper (incl receptacles, switches, lights)",43.72334,-79.59188,Bedding,Electrical Failure
Basement/cellar (not partitioned),0,0,2500,0,Fire alarm system present,Cutting/Welding Equipment,43.69569,-79.45028,Diesel Fuel/Fuel Oil,Other misuse of ignition source/material ignited
Cooking Area or Kitchen,1,0,2500,0,Fire alarm system present,"Other Cooking Items (eg Toaster, Kettle, elec frying pan)",43.6545,-79.39038,"Cooking Oil, Grease",Unattended
Porch or Balcony,0,0,2500,0,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.79699,-79.31933,Undetermined (formerly 98),Improperly Discarded
Engine Area,0,0,2500,0,Fire alarm system present,Vehicle - Electrical,43.66835,-79.38206,Vehicle,Mechanical Failure
Cooking Area or Kitchen,0,0,2500,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Stove, Range-top burner",43.75585,-79.28825,Other,Unattended
Other Outside Area,0,0,2500,0,Undetermined,Undetermined,43.67354,-79.46305,Other Building Component,Undetermined
Cooking Area or Kitchen,0,0,2500,0,Fire alarm system present,"Stove, Range-top burner",43.78658,-79.18831,"Cooking Oil, Grease",Used or Placed too close to combustibles
Engine Area,0,0,2500,0,Undetermined,Vehicle - Mechanical,43.6545,-79.39038,Vehicle,Mechanical Failure
"Living Area (e.g. living, TV, recreation, etc)",0,0,2500,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Clothes Dryer,43.82042,-79.20127,Other,"Routine maintenance deficiency, eg creosote, lint, grease buildup"
Garage,0,0,2500,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Cord, Cable for Appliance, Electrical Articles",43.66556,-79.43781,Multiple diverse objects ignited,Electrical Failure
"Living Area (e.g. living, TV, recreation, etc)",0,0,2500,0,Fire alarm system present,Other Electrical,43.73781,-79.52013,Electrical Wiring Insulation,Electrical Failure
Laundry Area,0,0,2500,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Clothes Dryer,43.64954,-79.36326,"Fabric - Synthetic, Combination","Routine maintenance deficiency, eg creosote, lint, grease buildup"
Garage,0,0,2500,0,No Fire alarm system,"Cord, Cable for Appliance, Electrical Articles",43.63655,-79.57384,Multiple diverse objects ignited,Electrical Failure
"Fuel Systems (eg. fuel tank, etc.)",0,0,2500,0,No Fire alarm system,Other,43.76421,-79.55325,Vehicle,"Other unintentional cause, not classified"
Cooking Area or Kitchen,0,0,2500,0,Fire alarm system present,"Stove, Range-top burner",43.71695,-79.55598,Cabinetry,Unattended
Chimney/Flue Pipe,0,0,2500,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Fireplace - Masonry,43.75102,-79.3206,"Creosote (chimney, flue pipe)","Routine maintenance deficiency, eg creosote, lint, grease buildup"
Porch or Balcony,0,0,2500,0,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.76224,-79.50052,Other Furniture,Improperly Discarded
Roof,0,0,2500,0,Fire alarm system present,Circuit Wiring - Copper,43.671,-79.39507,Wood,Design/Construction/Installation/Maintenance Deficiency
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,2500,0,Undetermined,Fireplace - Masonry,43.69582,-79.56274,Interior Wall/Ceiling,Design/Construction/Installation/Maintenance Deficiency
Cooking Area or Kitchen,0,0,2500,0,Fire alarm system present,Oven,43.76454,-79.50894,"Cooking Oil, Grease","Other unintentional cause, not classified"
Cooking Area or Kitchen,0,0,2500,0,Fire alarm system present,"Stove, Range-top burner",43.71916,-79.60346,"Cooking Oil, Grease",Unattended
Porch or Balcony,0,0,2500,0,Fire alarm system present,Undetermined,43.63126,-79.47554,Plastic,Improperly Discarded
"Closet (eg. clothes, broom, linen closet, etc.)",0,0,2500,0,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.76355,-79.19536,"Other Soft Goods, Wearing Apparel",Children Playing (Ages 11 and under)
Cooking Area or Kitchen,0,0,2500,0,Fire alarm system present,"Stove, Range-top burner",43.78735,-79.35303,Other,Unattended
"Washroom or Bathroom (toilet,restroom/locker room)",0,0,2500,0,Fire alarm system present,"Terminations-Copper (incl receptacles, switches, lights)",43.6654,-79.46229,Electrical Wiring Insulation,Electrical Failure
Cooking Area or Kitchen,0,0,2500,0,Fire alarm system present,"Stove, Range-top burner",43.68637,-79.41962,Cabinetry,Unattended
Exterior Wall,0,0,2500,0,Fire alarm system present,Other Electrical Distribution Item,43.79844,-79.2032,Other,Electrical Failure
Cooking Area or Kitchen,2,0,2500,0,Fire alarm system present,"Stove, Range-top burner",43.74681,-79.58381,"Cooking Oil, Grease",Unattended
Cooking Area or Kitchen,0,0,2500,0,Fire alarm system present,"Stove, Range-top burner",43.71653,-79.59262,"Cooking Oil, Grease","Routine maintenance deficiency, eg creosote, lint, grease buildup"
"Washroom or Bathroom (toilet,restroom/locker room)",0,0,2500,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.73126,-79.42836,"Rubbish, Trash, Waste",Improperly Discarded
Storage Area (outside),0,0,2500,0,No Fire alarm system,Undetermined,43.75869,-79.57803,Undetermined (formerly 98),Undetermined
"Lobby, Entranceway",0,0,2500,0,Fire alarm system present,Other Electrical,43.72582,-79.26254,Other,Electrical Failure
"Ducting - Exhaust (inc cooking, fumes, etc.)",1,0,2500,0,Fire alarm system present,"Heat Treatment Equipment (eg. furnace, oven, kiln, quench tanks,",43.70065,-79.58115,Plastic,Mechanical Failure
"Utility Shaft (eg. electrical wiring/phone, etc.)",0,0,2500,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Transformer,43.64801,-79.38637,Multiple Objects or Materials,Electrical Failure
"Living Area (e.g. living, TV, recreation, etc)",0,1,2500,1,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.72472,-79.30265,"Upholstered Sofa, Chair, etc.","Other unintentional cause, not classified"
Porch or Balcony,0,1,2500,1,Not applicable (bldg not classified by OBC OR detached/semi/town home),Undetermined,43.67834,-79.27478,"Rug, Carpet",Undetermined
Cooking Area or Kitchen,0,0,2500,1,Fire alarm system present,"Stove, Range-top burner",43.70321197,-79.34662866,Multiple Objects or Materials,Used or Placed too close to combustibles
Cooking Area or Kitchen,1,0,2500,1,No Fire alarm system,"Stove, Range-top burner",43.65058,-79.39957,Cabinetry,Unattended
"Living Area (e.g. living, TV, recreation, etc)",0,0,2500,1,Fire alarm system present,Other Electrical,43.66522,-79.3779,Other Furniture,Electrical Failure
"Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,2500,1,Fire alarm system present,Undetermined,43.71433,-79.45243,Undetermined (formerly 98),Undetermined
Cooking Area or Kitchen,2,0,2500,2,Fire alarm system present,"Stove, Range-top burner",43.71433,-79.45243,"Cooking Oil, Grease",Unattended
Cooking Area or Kitchen,0,0,2500,2,Fire alarm system present,"Stove, Range-top burner",43.69388,-79.56742,"Cooking Oil, Grease",Unattended
Cooking Area or Kitchen,0,0,2500,3,Fire alarm system present,Matches or Lighters (unable to distinguish),43.66540849,-79.37073048,"Paper, Cardboard",Suspected Arson
"Living Area (e.g. living, TV, recreation, etc)",0,0,2500,3,Fire alarm system present,Other Electrical,43.75381652,-79.45316502,Other,Electrical Failure
Laundry Area,0,0,2500,3,Not applicable (bldg not classified by OBC OR detached/semi/town home),Clothes Dryer,43.76331,-79.56605,Undetermined (formerly 98),"Routine maintenance deficiency, eg creosote, lint, grease buildup"
Cooking Area or Kitchen,0,0,2500,3,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Stove, Range-top burner",43.77684,-79.35292,"Cooking Oil, Grease",Unattended
Laundry Area,0,0,2500,3,Fire alarm system present,Clothes Dryer,43.73946,-79.40984,Bedding,"Routine maintenance deficiency, eg creosote, lint, grease buildup"
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",1,0,2500,3,No Fire alarm system,Matches or Lighters (unable to distinguish),43.68511,-79.37792,"Mattress, Pillow",Improperly Discarded
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",2,0,2500,4,Fire alarm system present,Undetermined,43.77909,-79.34874,"Paper, Cardboard",Improperly Discarded
"Washroom or Bathroom (toilet,restroom/locker room)",0,0,2500,4,Fire alarm system present,Central Heating/Cooling Unit,43.66201,-79.3359,Electrical Wiring Insulation,Electrical Failure
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,2500,4,No Fire alarm system,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.6686,-79.45877,"Other Soft Goods, Wearing Apparel",Improperly Discarded
Laundry Area,0,0,2500,5,Not applicable (bldg not classified by OBC OR detached/semi/town home),Clothes Dryer,43.70319529,-79.27217408,Other,"Routine maintenance deficiency, eg creosote, lint, grease buildup"
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,2500,5,Fire alarm system present,"Extension Cord, Temporary Wiring",43.72336,-79.49677,Electrical Wiring Insulation,Electrical Failure
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,2500,5,Fire alarm system present,Central Heating/Cooling Unit,43.76826,-79.52296,"Fabric - Synthetic, Combination",Electrical Failure
Cooking Area or Kitchen,0,0,2500,6,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Stove, Range-top burner",43.72469,-79.55229,"Cooking Oil, Grease","Other unintentional cause, not classified"
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,2500,7,Not applicable (bldg not classified by OBC OR detached/semi/town home),Undetermined,43.80712,-79.16915,Undetermined (formerly 98),Undetermined
Cooking Area or Kitchen,0,0,2500,12,Undetermined,Range Hood,43.6466,-79.38977,"Creosote (chimney, flue pipe)","Routine maintenance deficiency, eg creosote, lint, grease buildup"
"Open Area (inc lawn, field, farmyard, park, playing field, pier,",0,0,2500,35,Not applicable (bldg not classified by OBC OR detached/semi/town home),Other Open Flame Tools/Smokers' Articles,43.70946,-79.41078,Wood,"Unintentional, cause undetermined"
Laundry Area,0,0,2500,40,Fire alarm system present,Clothes Dryer,43.66292,-79.37435,Linen Other than Bedding,Undetermined
Cooking Area or Kitchen,0,0,2500,50,Fire alarm system present,"Stove, Range-top burner",43.65635,-79.38897,"Paper, Cardboard",Improper handling of ignition source or ignited material
Porch or Balcony,0,0,2500,99,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.7314341,-79.27121016,"Books, Magazines, Newspapers",Improperly Discarded
"Lobby, Entranceway",0,0,2800,0,Fire alarm system present,Space Heater - Fixed,43.70829,-79.2484,Electrical Wiring Insulation,Electrical Failure
Porch or Balcony,0,86,3000,0,Fire alarm system present,Undetermined,43.7603573,-79.41247867,Undetermined (formerly 98),Undetermined
Cooking Area or Kitchen,0,1,3000,0,Fire alarm system present,"Stove, Range-top burner",43.69643,-79.49016,"Cooking Oil, Grease","Unintentional, cause undetermined"
Cooking Area or Kitchen,0,1,3000,0,No Fire alarm system,"Other Cooking Items (eg Toaster, Kettle, elec frying pan)",43.77581,-79.42201,Interior Wall/Ceiling,Unattended
Cooking Area or Kitchen,0,0,3000,0,Fire alarm system present,Other Appliances,43.71875941,-79.57292066,"Other Soft Goods, Wearing Apparel",Mechanical Failure
"Living Area (e.g. living, TV, recreation, etc)",0,0,3000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Blow Torch, Bunsen Burner",43.68395132,-79.42389656,Floor,"Other unintentional cause, not classified"
Cooking Area or Kitchen,0,0,3000,0,No Fire alarm system,"Stove, Range-top burner",43.6637816,-79.46522989,"Cooking Oil, Grease",Unattended
"Product Storage (inc products or materials awaiting manuf, assembly)",1,0,3000,0,No Fire alarm system,"Hot Ashes, Embers, Spark",43.79840745,-79.27336624,"Fabric - Natural (eg. cotton, wool, etc.)",Used for purpose not intended
Laundry Area,0,0,3000,0,No Fire alarm system,Clothes Dryer,43.76117728,-79.52458473,Linen Other than Bedding,"Routine maintenance deficiency, eg creosote, lint, grease buildup"
Electrical Systems,0,0,3000,0,Fire alarm system present,"Distribution Equipment (includes panel boards, fuses, circuit br",43.695692,-79.45027898,Electrical Wiring Insulation,Electrical Failure
Cooking Area or Kitchen,0,0,3000,0,Fire alarm system present,"Stove, Range-top burner",43.78483026,-79.19543305,"Cooking Oil, Grease",Unattended
